Iterations,GA_Fitness,GA_Load,HB_Fitness,HB_Load,H_Fitness,H_Load
1,0.02439,30.379,0.034483,25.52,0.043478,15.418
2,0.025641,30.639,0.043478,18.543,0.071429,10.821
3,0.029412,25.362,0.034483,22.486,0.0625,12.943
4,0.02439,32.443,0.041667,15.77,0.047619,16.79
5,0.029412,23.383,0.047619,15.137,0.05,14.332
6,0.029412,26.605,0.037037,20.103,0.076923,9.5126
7,0.025641,27.935,0.035714,18.122,0.047619,16.86
8,0.022727,34.258,0.034483,20.518,0.05,13.622
9,0.029412,25.432,0.034483,20.436,0.05,13.482
10,0.025641,29.93,0.034483,27.079,0.043478,14.079
11,0.025641,32.009,0.04,19.41,0.05,14.955
12,0.032258,20.086,0.043478,17.212,0.071429,10.821
13,0.027027,32.34,0.043478,19.288,0.047619,14.254
14,0.028571,17.668,0.05,16.645,0.071429,11.057
15,0.032258,21.923,0.047619,17.954,0.05,14.532
16,0.02439,31.625,0.033333,21.059,0.047619,14.923
17,0.04,16.87,0.043478,17.201,0.066667,11.657
18,0.02381,32.241,0.038462,19.202,0.058824,13.495
19,0.02381,35.854,0.043478,16.923,0.047619,16.185
20,0.026316,29.665,0.047619,19.202,0.058824,11.665
21,0.032258,23.23,0.034483,22.076,0.05,14.687
22,0.02439,32.334,0.04,19.022,0.043478,13.91
23,0.022727,24.812,0.045455,17.735,0.071429,11.018
24,0.026316,27.739,0.034483,23.631,0.071429,11.018
25,0.025641,28.953,0.043478,19.359,0.076923,9.5126
26,0.023256,29.165,0.034483,24.165,0.08333,10.452
27,0.02439,31.817,0.043478,15.577,0.066667,11.657
28,0.034483,20.239,0.037037,16.433,0.071429,11.281
29,0.025,28.772,0.045455,16.796,0.0625,12.108
30,0.027778,24.691,0.034483,18.517,0.071429,10.087
31,0.025,27.342,0.04,15.304,0.047619,16.512
32,0.025641,27.212,0.032258,27.341,0.06667,10.418
33,0.022727,32.849,0.04,17.304,0.076923,11.283
34,0.026316,27.533,0.034483,21.07,0.043478,14.694
35,0.029412,27.8,0.04,15.521,0.055556,16.254
36,0.02381,31.002,0.037037,17.21,0.05,14.705
37,0.027027,27.482,0.034483,19.097,0.05,13.956
38,0.02439,38.681,0.043478,19.821,0.0625,11.792
39,0.027778,29.154,0.037037,23.059,0.05,12.823
40,0.02222,31.359,0.04,17.502,0.076923,10.279
41,0.027027,28.87,0.043478,16.595,0.076923,10.279
42,0.027027,23.645,0.04,18.416,0.05,14.785
43,0.026316,21.833,0.043478,17.313,0.05,14.532
44,0.029412,23.995,0.032258,23.486,0.06667,10.666
45,0.03333,24.085,0.037037,17.73,0.076923,10.279
46,0.03125,22.591,0.05,16.482,0.057619,13.79
47,0.02381,29.256,0.034483,19.009,0.076923,11.283
48,0.022222,33.471,0.04,17.301,0.052632,11.792
49,0.028571,22.084,0.04347,16.534,0.05,14.332
50,0.032258,22.241,0.038462,18.36,0.0625,12.108
51,0.034483,21.945,0.038462,19.663,0.058824,13.775
52,0.0222,26.81,0.038462,16.515,0.071429,11.018
53,0.033333,19.768,0.035714,20.668,0.052632,11.795
54,0.026316,30.999,0.043478,16.412,0.066667,11.138
55,0.02439,29.089,0.05,16.272,0.058824,11.665
56,0.032258,27.176,0.037037,19.259,0.066667,11.408
57,0.030303,25.339,0.034483,17.492,0.05,14.231
58,0.028571,22.657,0.034483,21.555,0.05,13.314
59,0.025641,24.906,0.043478,17.596,0.071429,10.087
60,0.029412,23.83,0.043478,19.663,0.071429,10.821
61,0.022222,29.434,0.035714,18.086,0.05,12.844
62,0.041667,16.933,0.033333,24.74,0.071429,10.821
63,0.02439,28.326,0.043478,13.453,0.071429,10.821
64,0.02381,33.348,0.037037,21.273,0.076923,10.279
65,0.025,31.585,0.034483,22.198,0.058824,13.33
66,0.027027,28.689,0.033333,24.298,0.052632,12.117
67,0.023256,37.801,0.037037,17.15,0.058824,11.333
68,0.026316,33.422,0.047619,18.923,0.076923,11.283
69,0.026316,28.716,0.037037,19.626,0.05,12.51
70,0.029412,25.205,0.034483,23.889,0.08333,10.452
71,0.034483,25.727,0.034483,24.868,0.066667,10.666
72,0.027027,25.383,0.035714,21.682,0.05,12.844
73,0.026316,27.301,0.034483,26.008,0.05,12.844
74,0.02439,33.334,0.043478,16.545,0.043478,16.661
75,0.03125,18.17,0.033333,23.034,0.058824,13.775
76,0.043478,16.289,0.034483,21.71,0.066667,9.9127
77,0.029412,22.239,0.043478,16.545,0.0625,13.138
78,0.030303,23.248,0.04,19.758,0.055556,16.254
79,0.030303,26.68,0.043478,17.429,0.076923,10.484
80,0.023256,32.38,0.037037,19.626,0.055556,14.6
81,0.029412,27.821,0.037037,17.237,0.071429,10.821
82,0.027778,31.157,0.034483,24.426,0.058824,11.875
83,0.032258,20.629,0.043478,17.014,0.071429,11.018
84,0.025,33.826,0.043478,13.973,0.05,13.956
85,0.0336,20.18,0.029412,27.6,0.05,14.501
86,0.035714,20.259,0.043478,15.943,0.071429,11.018
87,0.029412,22.226,0.035714,19.639,0.05,13.074
88,0.029412,29.14,0.05,13.252,0.066667,11.138
89,0.026316,27.263,0.043478,15.1,0.083333,10.452
90,0.030303,22.725,0.043478,17.751,0.076923,9.5126
91,0.029412,26.68,0.043478,16.54,0.0625,12.943
92,0.025,33.575,0.034483,22.169,0.051667,14.933
93,0.02439,33.419,0.034483,21.843,0.053478,10.484
94,0.027027,28.35,0.045455,14.577,0.071429,11.018
95,0.034483,21.787,0.05,13.475,0.05,14.985
96,0.029412,28.231,0.043478,20.082,0.058824,13.041
97,0.02381,34.45,0.035714,20.259,0.037037,17.709
98,0.03125,18.345,0.034483,23.619,0.05,14.5
99,0.025,29.551,0.043478,16.159,0.05,14.985
100,0.027027,28.893,0.043478,17.7,0.058824,13.252
